Entidad,Satisfacción con la vida,Gini del ingreso disponible de los hogares per cápita,Ingreso equivalente disponible de los hogares,Tasa de pobreza,Tasa de pobreza extrema,Contaminación del aire,Habitaciones por persona,Porcentaje de viviendas con techos de materiales resistentes,Empleados trabajando muchas horas,Satisfacción con tiempo para ocio,Hogares con acceso a banda ancha,Viviendas con acceso a servicios básicos,Acceso a servicios de salud,Esperanza de vida al nacer,Tasa de mortalidad infantil,Tasa de mortalidad materna,Tasa de obesidad,Salud autorreportada,Niveles de educación,Deserción escolar,Habilidades de los estudiantes,Tasa de homicidios,Confianza en la policía,Percepción de la inseguridad,Tasa de incidencia delictiva,Participación cívica y política,Participación electoral,Confianza en la aplicación de la ley,Percepción de ausencia de corrupción en el sistema judicial,Tasa de ocupación,Tasa de desempleo,Tasa de informalidad laboral,Tasa de condiciones críticas de ocupación
Querétaro,8.3,0.488,"7,891",34.2,3.9,16.3,1,83.6,30.35,7.8,32.3,91.66,84.2,75.39,11.9,35,25.4,8.5,41,13.1,434,6.1,61.3,42.8,"31,572",5.6,66.8,6.18,31,51.4,5.93,45.35,4.5
Quintana Roo,8,0.494,"7,742",35.9,7,3.7,0.8,82.4,30.26,7.7,46.71,92.77,81.5,75.64,11.3,46.2,37,8.2,43.4,8.4,411,11,48.6,42.1,"41,381",8.95,58.1,4.91,19.7,64.54,4.54,47.92,7.9
San Luis Potosí,8,0.477,"5,613",49.1,9.5,10.4,1,73.7,22.88,7.6,27.18,79.35,89.3,74.69,13.1,31.8,28.8,8.2,37,10.8,412,11.2,51.8,36.6,"41,384",7.01,63.3,5.61,34.4,56.58,3.2,58.46,12.1
Sinaloa,7.9,0.486,"7,406",39.4,5.3,7.4,1,90.1,21.76,7.9,38.15,89.04,84.8,75.47,9.9,26.7,33.9,8.2,47.5,7.8,411,41.1,56.4,31.3,"29,139",6.18,61.7,8.21,43,56.02,5.82,50.27,7.8
Sonora,8,0.476,"8,800",29.4,3.3,6.1,1,67.2,24.89,7.8,45.94,93.87,85.6,75.32,10.7,40.2,36.1,8.2,45.4,15.1,NA,23.1,55.1,41.1,"26,384",9.79,57.8,7.24,36.4,62.67,4.95,44.09,7.2
Tabasco,7.9,0.476,"5,928",49.6,11,8.2,0.9,38.5,33.06,7.7,28.65,77.97,83.1,74.77,13.3,27.4,42.7,7.9,40.5,12.5,378,10.6,36,61.4,"29,508",9.6,71.3,4.48,26.5,53.89,6.57,62.8,10.3
Tamaulipas,8.3,0.478,"7,143",37.9,4.3,6.6,1,77.2,24.64,8.1,37.21,90.51,85,75.75,13.3,41.7,37.1,8.5,44,13.1,411,25.5,53.6,40,"33,414",6.84,58.5,6.87,40.4,57.68,5.19,46.85,9.9
Tlaxcala,7.8,0.411,"4,892",58.9,6.5,11.7,0.9,89.1,30.43,7.3,24.75,94.73,82.5,75.24,13.9,23.2,30.3,8.1,37.1,12.9,411,7.1,48,46.8,"33,700",9.38,63.9,4.36,31.1,58.01,5.76,72.87,16.8
Veracruz de Ignacio de la Llave,7.7,0.49,"4,923",58,17.2,11.3,0.9,47.2,27.29,7.6,21.18,77.31,78.3,74.08,14.4,46.4,31.2,7.9,35,8.2,402,9.6,46.5,42.7,"20,832",4.95,67.1,4.2,29.4,51.29,3.66,68.16,15.2
Yucatán,8,0.511,"6,914",45.9,10.7,3.4,0.9,86.8,29.03,7.8,29.51,84.76,85.5,75.49,10.8,50.8,44.8,8.2,38,12.9,410,2.4,66.6,33.3,"31,857",9.33,77.4,11.2,31.4,62.32,2.35,62.77,14.4
Zacatecas,8.1,0.507,"5,228",52.3,5.7,7.2,1,73,28.81,7.9,25.81,89.41,85.1,75.26,11,44.2,30.3,8.1,30.4,11.2,408,27.7,67.4,37.4,"30,058",8.16,61.4,6.41,43.1,52.33,4.75,65.41,12.6
