distrito,muni,localida,pobtotal,vp,vpcontv
1,1,1,568,150,112
1,1,2,433,69,28
1,1,3,193,56,21
1,1,4,123,25,18
1,2,1,902,234,161
1,2,2,394,75,47
1,2,3,72,13,11
1,2,4,32,7,6
1,3,1,1039,242,147
1,3,2,209,49,31
1,3,3,287,69,25
1,3,4,36,7,4
1,3,5,183,35,21
1,3,6,30,7,5
1,3,7,51,10,3
1,4,1,1608,387,282
1,4,2,391,85,46
1,4,3,223,43,13
1,4,4,26,6,1
1,4,5,33,7,5
1,4,6,9,2,1
1,4,7,13,3,0
1,5,1,548,117,44
1,6,1,818,175,118
1,6,2,127,19,4
1,6,3,688,93,38
1,6,4,411,60,13
1,7,1,789,166,94
1,7,2,147,28,14
1,7,3,187,34,21
1,7,4,229,40,31
1,7,5,159,24,16
1,8,1,666,152,114
1,9,1,491,107,72
1,9,2,333,62,33
1,9,3,18,3,1
1,10,1,613,138,99
1,10,2,589,126,63
1,11,1,843,138,112
1,11,2,51,11,3
1,11,3,256,45,32
1,12,1,1671,271,84
1,12,2,473,86,32
1,12,3,59,12,4
1,12,4,10,3,0
1,12,5,33,3,0
1,13,1,902,180,129
1,13,2,45,8,5
1,13,3,44,8,5
1,14,1,389,94,77
1,14,2,21,6,3
1,15,1,438,127,57
1,15,2,247,59,40
1,15,3,15,3,1
1,15,4,15,3,1
1,16,1,2136,435,305
1,16,2,402,70,29
1,16,3,399,70,43
1,16,4,782,132,55
1,16,5,750,164,109
1,17,1,673,188,80
1,17,2,500,123,81
1,18,1,2408,512,401
1,18,2,346,73,49
1,18,3,243,52,29
1,18,4,83,15,10
1,18,5,65,14,8
1,18,6,153,37,27
1,18,7,434,67,12
1,18,8,156,35,15
1,18,9,151,28,20
1,18,10,346,80,28
1,18,11,653,123,79
1,18,12,500,141,78
1,18,13,308,78,56
1,18,14,57,14,8
1,18,15,166,31,14
1,18,16,113,26,17
1,18,17,354,78,44
1,18,18,392,97,64
1,18,19,252,66,27
1,18,20,173,39,21
1,18,21,77,12,9
1,18,22,33,5,2
1,18,23,38,7,7
1,18,24,34,6,3
1,18,25,18,4,3
1,18,26,131,23,10
1,18,27,98,16,11
1,19,1,1592,349,197
1,19,2,88,16,8
1,19,3,725,145,99
1,19,4,138,26,17
1,19,5,147,24,13
1,19,6,369,69,40
1,19,7,183,31,19
1,19,8,37,6,0
1,19,9,131,18,8
1,19,10,15,3,2
2,1,1,712,179,99
2,1,2,43,12,9
2,1,3,111,24,12
2,1,4,17,5,3
2,2,1,374,127,98
2,2,2,340,95,51
2,2,3,151,46,23
2,2,4,25,7,5
2,2,5,10,3,3
2,2,6,28,8,3
2,3,1,338,76,37
2,3,2,625,132,64
2,3,3,123,34,9
2,3,4,45,8,8
2,4,1,43073,9172,8275
2,4,2,680,141,96
2,4,3,150,30,22
2,4,4,306,70,50
2,4,5,177,40,30
2,4,6,226,56,48
2,4,7,205,42,39
2,4,8,132,25,22
2,4,9,576,128,116
2,4,10,73,21,12
2,4,11,453,123,90
2,4,12,1235,249,173
2,4,13,123,26,17
2,4,14,70,15,13
2,4,15,68,15,9
2,4,16,160,40,16
2,4,17,217,54,40
2,4,18,318,86,72
2,4,19,927,193,100
2,4,20,204,44,39
2,4,21,36,9,8
2,4,22,1437,271,222
2,4,23,205,54,42
2,4,24,88,14,6
2,4,25,16,4,0
2,4,26,113,30,28
2,4,27,37,8,7
2,4,28,25,5,5
2,4,29,78,13,7
2,4,30,56,13,11
2,4,31,163,32,25
2,4,32,14,3,2
2,4,33,114,24,15
2,4,34,45,10,9
2,4,35,59,9,7
2,4,36,222,50,35
2,4,37,121,28,25
2,4,38,38,8,6
2,4,39,147,33,28
2,4,40,180,41,41
2,4,41,21,5,3
2,4,42,11,3,0
2,4,43,15,3,0
2,4,44,17,5,1
2,4,45,573,129,81
2,5,1,1709,387,285
2,5,2,95,19,14
2,5,3,507,126,89
2,5,4,323,60,28
2,5,5,34,9,7
2,5,6,434,86,48
2,5,7,143,43,27
2,5,8,63,14,8
2,5,9,51,11,6
2,5,10,24,6,3
2,6,1,971,227,164
2,6,2,280,68,47
2,6,3,142,46,20
2,6,4,530,102,76
2,6,5,210,38,24
2,7,1,895,195,133
2,7,2,473,98,74
2,7,3,246,60,42
2,7,4,281,56,43
2,8,1,2151,335,237
2,8,2,299,68,30
2,8,3,675,138,96
2,8,4,228,38,25
2,9,1,727,159,126
2,9,2,175,39,32
2,9,3,267,59,48
2,9,4,36,8,6
2,9,5,58,11,3
2,10,1,278,79,45
2,10,2,129,40,17
2,10,3,16,3,1
2,10,4,15,4,1
2,11,1,1067,274,240
2,11,2,143,21,7
2,11,3,738,159,127
2,11,4,28,7,6
2,11,5,306,49,36
2,11,6,20,4,4
2,12,1,748,139,100
2,12,2,578,125,69
2,12,3,44,9,3
2,13,1,558,106,57
2,13,2,339,62,14
2,13,3,147,34,15
2,13,4,505,77,41
2,13,5,510,80,35
2,13,6,1357,255,182
2,13,7,492,70,35
2,13,8,572,104,56
2,13,9,250,38,21
2,13,10,63,13,6
2,13,11,134,24,18
2,13,12,250,49,15
2,13,13,358,71,28
2,13,14,264,47,19
2,13,15,261,42,16
2,13,16,24,5,0
2,13,17,44,8,2
2,14,1,463,139,93
2,14,2,179,51,20
