ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,NOMBRE_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,LISTA_NOMINAL_CASILLA,RAC,JAMK,AMLO,JHRC,CANDNOREG,VOTOS_NULOS,TOTAL_VOTOS,estrato,Nh,nh,fexp
30,VERACRUZ,6,PAPANTLA DE OLARTE,2927,1,B,0,Rural,503,200,50,115,3,2,5,375,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2943,1,C,0,Rural,687,163,63,178,6,0,3,413,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2355,1,B,0,Rural,430,76,86,127,2,0,8,299,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,967,1,B,0,Rural,492,232,16,108,0,0,1,357,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2916,3,C,0,Urbana,628,53,35,287,14,0,7,396,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2954,1,C,0,Rural,559,93,42,168,3,0,6,312,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2982,1,B,0,Rural,475,31,34,218,4,0,12,299,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,1516,1,C,0,Rural,551,119,65,171,4,0,14,373,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2987,1,E,0,Rural,588,70,50,195,8,0,6,329,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2961,1,E,0,Rural,306,72,23,101,10,0,6,212,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2906,2,C,0,Urbana,536,51,41,248,12,0,3,355,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2979,2,E,0,Rural,276,25,24,128,3,0,4,184,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,1283,1,E,0,Rural,649,238,88,133,2,1,24,486,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,4761,1,B,0,Rural,481,55,45,221,11,0,7,339,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,1513,1,B,0,Rural,543,113,98,112,7,0,8,338,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2378,1,B,0,Rural,710,139,53,148,2,0,17,359,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2898,1,C,0,Urbana,577,86,31,195,8,0,8,328,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2620,1,E,0,Rural,404,120,25,119,4,0,4,272,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,4765,1,S,0,Urbana,0,150,85,463,53,1,8,760,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,2901,1,C,0,Urbana,706,63,46,298,2,0,11,420,277,541,26,20.8076923076923
30,VERACRUZ,6,PAPANTLA DE OLARTE,4611,1,E,0,Rural,616,231,66,109,3,0,11,420,277,541,26,20.8076923076923
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,4071,1,C,0,Urbana,552,72,50,140,7,0,15,284,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,2288,1,B,0,Urbana,562,62,27,241,10,0,9,349,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,1839,1,E,0,Rural,295,64,43,77,0,14,0,198,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,227,1,B,0,Rural,339,79,93,94,0,0,3,269,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,238,1,B,0,Rural,645,185,79,195,10,0,15,484,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,2290,1,C,0,Urbana,681,70,21,282,9,0,8,390,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,2526,1,C,0,Urbana,648,72,28,298,19,0,11,428,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,4064,3,C,0,Rural,601,76,43,194,6,0,11,330,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,2316,1,B,0,Urbana,670,67,36,300,12,0,7,422,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,452,1,B,0,Rural,429,70,98,88,1,0,14,271,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,2349,1,C,0,Rural,460,46,16,222,6,0,3,293,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,2293,2,C,0,Urbana,537,45,27,218,12,0,6,308,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,242,1,C,0,Rural,710,152,125,175,26,0,28,506,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,228,1,B,0,Rural,444,114,41,132,3,0,17,307,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,4067,1,B,0,Rural,683,125,52,175,6,0,12,370,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,2281,1,C,0,Urbana,527,51,24,203,12,0,3,293,278,549,26,21.1153846153846
30,VERACRUZ,7,MARTÍNEZ DE LA TORRE,4064,2,C,0,Rural,601,65,49,197,6,0,6,323,278,549,26,21.1153846153846
